crudo_BPPD,agua_BAPD,presion_cabeza_psi,temperatura_cabeza_F,co2_gas_pressure_psi,calcio_ppm,magnesio_ppm,cloruros_ppm,sulfatos_ppm,alcalinidad_ppm,longitud_tuberia_pies,hierro_ppm,dosis_IC_ppm,mpy
51.3227904,1437.15721,88.0,98.0352725,4.4,1083.0,231.85,9311.0,10.0,528.0,2652.42,15.41,39.4364439,0.998794044
50.5126368,409.0273632,93.0,114.8,2.697,776.71164,322.2843,10223.0,10.5,268.0,2651.0,1.757563014,27.90841882,7.577549882
14.479992,1108.000008,60.0,104.0,3.6,1176.0,479.0,12257.0,5.0,74.42673090000001,2866.9,5.7,0.0,14.95569056
11.82412,755.97588,105.0,107.6,8.4,942.0,372.0,8853.0,5.0,463.0,3113.35,13.7,85.0,10.08854889
27.96064,639.03936,130.0,107.6,11.7,956.0,428.0,7072.0,5.0,269.0,2804.6,2.06,40.0,1.528931141
24.41439,976.58561,120.0,95.0,3.0,1803.35,259.84,9643.0,10.0,532.0,2754.53,6.3,35.26249877,6.848937745
5.86368,401.33632,0.0,101.7256575,0.0,245.6,256.68,15301.0,10.0,295.0,4035.3,4.01,0.0,0.820601455
16.472955,648.027045,106.0,100.4,12.72,1134.0,356.0,8841.0,5.0,449.0,3396.64,11.7,120.0,1.833481095
40.7156549,561.8543451,83.0,86.0,4.731,1402.73,692.6925,9880.0,5.0,475.0,2787.42,0.203,80.0,15.21648516
31.458328,829.941672,92.0,95.0,2.852,938.5,150.56,9404.0,10.0,582.0,2965.17,7.25,35.2386107,14.83451346
19.51642,233.48358,144.0,104.0,0.144,2909.0,670.0,16512.0,5.0,302.0,3428.0,13.5,0.0,1.290582289
85.2,1618.8,48.0,95.0,1.44,2745.343,340.27,13400.0,5.0,385.0,3789.64,0.85,95.13364148,15.33591319
40.15136,1043.84864,77.0,122.0,1.54,1359.0,349.0,10720.0,5.0,340.0,3499.78,1.16,0.0,12.5371739
10.85146,392.54854,80.0,104.0,16.0,1125.0,121.525,13215.0,10.0,483.0,2848.4,0.71,40.0,11.18483248
23.44,1148.56,126.0,100.4,6.3,881.716,861.7446757925009,9236.0,5.0,450.0,3109.34,21.96071422,37.60588444,5.221319545
69.5061418,973.0338582,104.0,114.8,8.32,901.755,303.8125,9001.0,8.9,512.0,2754.04,1.04,0.0,9.57908154
11.162918,892.717082,140.0,100.3599083,5.6,518.5,172.15,8568.0,10.4,502.0,3102.0,15.61,38.28531553,14.93809895
6.64073,564.35927,62.0,93.2,2.48,1529.0,166.0,9158.0,5.0,488.0,2779.28,28.5,110.0,5.817330158
66.4299,1328.5701,88.0,98.53391117,4.4,1083.0,231.85,9311.0,10.0,528.0,2652.42,15.41,38.87220867,7.120207445
30.71109,279.18891,159.0,89.6,1.59,804.0,440.0,12605.0,5.0,615.0,2609.78,0.6,32.0,0.760638773
20.5865,728.0135,135.0,111.2,2.7,1128.0,290.0,10840.0,5.0,428.0,3995.95,2.2,100.0,1.872523971
8.47296,432.82704,77.0,113.0,3.08,1019.0,487.0,13158.0,5.0,410.0,2854.6,4.1,80.0,6.315049216
64.51564,279.38436,145.0,92.48,5.3542,948.0,217.5,10954.0,3.83,767.3,2695.1,10.52,21.77263589,11.444
16.0704,151.3296,158.0,95.0,1.896,1135.0,148.0,13450.0,48.45274896636758,391.4,3924.0,4.135,15.38079211,1.041435274
67.907658,652.292342,80.0,104.0,8.0,1426.0,382.0,14667.0,5.0,694.0,2303.85,3.11,21.0,0.704322553
20.121132,724.278868,105.0,107.6,4.2,821.599,291.66,10414.0,5.0,531.0,2666.0,0.682,0.0,15.31665235
39.8097,707.7903,180.0,103.4075523,5.4,858.0,149.93,11299.0,10.0,577.0,3428.2,2.08,0.0,1.288605704
40.8573761,571.9726239,81.0,101.0864326,2.43,985.0,171.15,11580.0,10.0,348.0,3499.78,6.92,0.0,6.02769069
13.9986,406.0014,150.0,111.2,9.0,1081.0,315.0,7670.0,10.8,192.0,2507.29,1.99,27.0,1.404969158
2.941875,467.758125,123.0,104.0,1.353,1049.0,245.0,14600.0,5.0,381.0,3666.14,1.02,54.27863158,1.14684753
17.27003,360.62997,94.0,94.75637122,1.88,1436.0,222.94,11834.0,10.0,440.0,3813.35,11.74,43.0001499,0.523667424
2.712717,62.387283,66.0,100.6135196,2.9835,910.1603053,306.1647091,10252.24632,6.442082244,517.7652651,2277.0,4.632804197,45.0,6.817994021
20.169378,322.730622,107.0,89.6,8.56,1217.0,430.0,10850.0,5.0,75.3,3281.0,0.3,24.26666667,0.361339032
31.62094,625.77906,126.0,98.6,7.56,664.6266,403.07625,12003.0,5.0,650.0,2308.0,1.145018566,0.0,1.094727338
8.470806,660.629194,83.0,96.8,6.64,1152.0,374.0,11522.0,5.0,490.0,2787.42,21.2,0.0,15.38720317
0.0,558.0,92.0,104.0,4.6,1162.0,299.0,12417.0,5.0,477.0,3245.34,3.0,115.0,6.682928518
51.3812,1014.6188,169.0,95.06449047,3.38,2076.0,307.6,13624.0,16.93,797.2277740000007,2310.72,13.31,27.4750531,14.77299903
69.4243035,1596.625697,96.0,95.0,3.84,1050.0,255.6,9632.0,10.0,522.08,2861.91,11.47,41.48792956,15.13029846
28.4307948,1061.289205,82.0,107.6,3.28,941.833,291.66,9026.0,6.7,512.0,2837.97,0.44,0.0,3.737466628
67.222008,474.017992,134.0,97.33302245,8.04,903.0,152.65,10966.0,10.0,736.0,2595.5,8.77,20.22650901,9.998798583
0.0,308.5,55.0,96.8,1.1,1029.0,374.0,10110.0,5.0,459.0,2293.0,6.8,34.07194593,0.337328773
16.233658,324.666342,87.0,95.0,4.35,788.0,201.4,8633.0,10.0,642.56,2206.9,10.77,35.98885393,7.786
96.544,1303.456,83.0,104.0,13.28,922.0,435.0,9790.0,5.0,455.0,2813.29,1.24,0.0,15.74580082
22.701816,385.898184,146.0,93.2,4.38,1999.0,428.0,14024.0,5.0,439.0,2608.0,8.1,18.66666667,1.096000277
28.7546,503.2454,79.0,104.0,6.32,1061.0,459.0,10842.0,5.0,458.0,3164.5,17.4,60.0,0.509958853
33.88645,670.61355,0.0,109.4,0.0,1001.95,121.525,9059.0,5.23,546.0,2611.63,12.0,38.65174029,15.34149563
86.43,918.57,105.0,101.8770724,3.15,1202.0,224.25,12595.0,10.0,546.0,3221.0,2.14,0.0,0.851405093
12.463125,652.236875,140.0,104.0,1.4,1277.0,381.0,12154.0,5.7,296.0,4232.42,0.99,28.47681233,1.872590842
0.0,683.0,84.0,104.0,10.08,805.0,214.0,7939.0,6.9,566.0,2631.74,1.19,29.03141236,1.135461379
56.2928,875.7072,105.0,95.0,2.855,1380.0,292.7,11620.0,10.0,371.48,3711.84,7.41,29.09775215,7.712181397
29.79375,923.60625,120.0,99.43202117,7.2,881.5,216.48,10102.0,10.0,512.0,2754.53,43.42,0.0,5.646756363
118.43,1703.57,118.0,95.54,5.7852,632.0,143.5,7883.0,1.0,569.3,2604.0,1.89,36.95800265,15.1527192
21.47104,447.32896,121.0,107.6,10.89,961.872,279.5075,8218.0,5.0,497.0,2528.17,1.89,130.0,0.710299831
80.98664,1235.01336,89.0,114.8,7.12,921.794,546.8625,12492.0,5.0,448.0,2850.95,2.8,43.1470125,12.44350484
10.90614,150.09386,106.0,95.0,5.088,927.0,155.5,7916.0,10.0,461.84,3446.13,9.28,37.39616094,14.74095986
2.329353,81.520647,163.0,104.0,1.63,1106.0,323.0,9747.0,5.0,273.0,4155.49,7.2,0.0,5.421549023
38.12185,1276.87815,84.0,86.0,0.84,1522.964,559.015,10956.0,5.0,430.0,3567.03,0.568249073,38.05078643,9.168977927
32.86831,460.13169,109.0,93.2,2.725,1522.964,571.1675,9724.0,5.0,535.0,2505.0,0.557,32.95073206,5.000977408
23.3424,787.1576,100.0,111.2,4.2,881.716,267.355,10607.0,5.0,522.0,3107.8,4.41,17.72043389,0.810861994
134.7322495506841,135.872,155.0,95.0,1.55,1061.0,477.9,25470.21228500006,10.0,329.1,4081.0,7.25,1.392609923,0.07
9.90144,505.79856,51.0,94.41961347,1.275,1086.0,207.5,10320.0,10.0,547.0,2808.27,27.58,66.89969111,15.0105254
11.1197,1100.8503,88.0,104.0,5.28,1176.0,479.0,12257.0,5.0,74.42673090000001,2866.9,5.7,100.0,2.245463982
4.303736,753.396264,107.0,101.5381365,3.7217,1051.616973,320.404072,9960.096931,5.827969315,446.3273356,2944.38,4.30747036,80.0,9.198196312
4.965,745.035,180.0,113.0,5.4,1039.0,378.0,9581.0,5.0,403.0,3213.21,11.9,0.0,15.34643528
5.86936,440.13064,0.0,104.0,0.0,1058.0,333.0,9696.0,5.0,654.0,2934.16,11.0,26.0,15.28506814
64.6503,1508.3497,84.0,98.37460961,2.52,1122.5,204.68,11360.0,10.0,516.0,2638.62,9.62,39.8731338,15.24565511
34.49112,1609.50888,119.0,96.8,6.783,1462.847,413.185,9954.0,5.0,470.0,2604.0,0.416,90.0,5.514370732
80.50161,1046.49839,180.0,107.6,0.0,1310.0,332.0,10296.0,5.0,619.0,3036.1,6.02,0.0,1.115877705
18.194191,327.505809,106.0,89.6,8.48,1217.0,430.0,10850.0,5.0,75.3,3281.0,0.3,24.26666667,0.942540437
14.7375,1164.2625,120.0,95.0,3.0,1803.35,259.84,9643.0,10.0,532.0,2754.53,6.3,36.71401422,6.542819656
33.03628,691.759296,200.0,98.79972817,1.0,3254.3465780000006,440.0,25470.21228500006,10.0,192.0,4300.370038970001,5.36,17.59352268,0.521594421
22.565,46.5328999614856,98.0,97.66581032,1.47,1296.0,259.38,16320.0,10.0,460.0,2909.3,7.6,0.0,1.171103664
9.681153,309.828847,144.0,95.0,3.7105,2739.0,278.5,13975.0,10.0,321.28,3428.0,25.42,22.34718091,0.667570373
8.670648,706.729352,72.0,102.8189794,3.0779,971.5182374,315.4949968,9965.537133,5.77415842,474.8917548,2714.16,4.13069512,110.0,15.51694928
19.5862719,979.2037281,180.0,95.19848437,7.2,1249.0,253.25,8660.0,10.0,526.0,3563.06,14.7,37.97207781,13.29121981
33.65157,413.24843,102.0,95.0,3.06,1342.613,364.575,9500.0,5.0,565.0,2769.61,10.9,38.15913682,8.831580347
32.7904,377.0896,65.0,95.0,2.2032,1007.0,259.6,10065.0,10.0,502.0,3135.0,9.81,28.34391929,13.74746765
15.316422,867.983578,0.0,109.4,0.0,1001.95,121.525,9059.0,5.23,546.0,2611.63,12.0,0.0,1.63519851
15.037026,962.662974,148.0,100.4,4.44,1061.0,571.1675,8003.0,5.0,490.0,2758.0,5.876960295,90.0,0.606809909
3.09918,278.90082,138.0,104.0,8.28,1317.0,224.0,12900.0,5.0,337.0,3810.0,6.1,0.0,1.161275393
11.94046,191.05954,126.0,91.4,5.6661,1322.1,195.1,11139.0,8.84,693.0,2308.0,3.58,23.73705662,0.05
62.5308,1221.4692,52.0,116.6,2.236,641.248,413.185,10203.0,5.1,410.0,3161.26,0.565,38.27301711,999.9
24.70494,1457.29506,63.0,104.0,5.04,948.0,245.0,10500.0,5.0,468.0,2939.85,3.15,0.0,0.261020265
78.9143853,1017.575615,116.0,107.6,5.8,921.794,267.355,9392.0,5.0,493.0,2753.0,8.23,23.58691626,15.23263976
32.934,515.966,150.0,100.4,12.0,945.0,407.0,9869.0,18.1,564.0,3326.0,1.15,20.0,1.115492265
28.173761,774.726239,96.0,100.2165249,1.44,1787.5,222.58,14105.0,10.0,456.0,3220.2,3.1,0.0,0.567730689
24.47668,489.52332,40.0,107.6,3.535,661.287,279.5075,9700.0,5.3,489.0,2875.33,0.241783795,63.28929228,15.51798302
77.10295,1387.89705,101.0,100.4,3.535,902.0,392.0,10734.0,7.6,742.0,2285.09,5.4,50.0,1.45369607
42.21615,879.53385,82.0,107.6,3.28,941.833,291.66,9026.0,6.7,512.0,2837.97,0.44,108.749937,9.389196333
30.19374,683.60626,125.0,100.3274008,4.1782,1112.341152,323.0546766,10387.67333,6.491616487,442.2644041,3100.36,4.578909964,90.0,5.064681827
57.10716,770.89284,0.0,95.0,0.0,903.0,207.1,10258.0,10.0,430.0,2877.17,4.89,29.27037098,0.848473314
29.544972,738.655028,135.0,109.4,8.1,841.638,303.8125,9739.0,9.1,570.0,2852.0,0.624,0.0,0.845694227
61.552026,1923.0484929349507,146.0,111.2,1.46,1130.0,453.0,13965.0,5.47,357.0,3807.02,0.4,0.0,5.495105526
45.714,756.286,123.0,93.2,2.46,1098.0,380.0,10734.0,5.0,712.0,2128.01,5.9,80.0,13.02470945
77.1393,933.8607,126.0,111.2,3.78,1549.0,387.0,12240.0,5.0,354.0,4100.0,3.44,27.73213284,0.769454044
41.050815,762.449185,83.0,107.3131368,4.98,190.6,233.8,14424.0,10.0,582.0,3024.49,1.54,0.0,15.15291666
79.45548,162.34452,138.0,95.0,0.7088,3254.3465780000006,632.4,25470.21228500006,28.1,164.8,4300.370038970001,6.95,1.518329888,1.583
14.0448,983.4552,177.0,107.6,2.655,1764.0,630.0,11423.0,8.41,410.0,3626.7,3.9,36.8500284,1.194016562
