crudo_BPPD,agua_BAPD,presion_cabeza_psi,temperatura_cabeza_F,co2_gas_pressure_psi,calcio_ppm,magnesio_ppm,cloruros_ppm,sulfatos_ppm,alcalinidad_ppm,longitud_tuberia_pies,hierro_ppm,dosis_IC_ppm,mpy
51.3227904,1437.15721,88,98.0352725,4.4,1083,231.85,9311,10,528,2652.42,15.41,39.4364439,0.998794044
50.5126368,409.0273632,93,114.8,2.697,776.71164,322.2843,10223,10.5,268,2651,1.757563014,27.90841882,7.577549882
14.479992,1108.000008,60,104,3.6,1176,479,12257,5,74.4,2866.9,5.7,0,14.95569056
11.82412,755.97588,105,107.6,8.4,942,372,8853,5,463,3113.35,13.7,85,10.08854889
27.96064,639.03936,130,107.6,11.7,956,428,7072,5,269,2804.6,2.06,40,1.528931141
24.41439,976.58561,120,95,3,1803.35,259.84,9643,10,532,2754.53,6.3,35.26249877,6.848937745
5.86368,401.33632,0,101.7256575,0,245.6,256.68,15301,10,295,4035.3,4.01,0,0.820601455
16.472955,648.027045,106,100.4,12.72,1134,356,8841,5,449,3396.64,11.7,120,1.833481095
40.7156549,561.8543451,83,86,4.731,1402.73,692.6925,9880,5,475,2787.42,0.203,80,15.21648516
31.458328,829.941672,92,95,2.852,938.5,150.56,9404,10,582,2965.17,7.25,35.2386107,14.83451346
19.51642,233.48358,144,104,0.144,2909,670,16512,5,302,3428,13.5,0,1.290582289
85.2,1618.8,48,95,1.44,2745.343,340.27,13400,5,385,3789.64,0.85,95.13364148,15.33591319
40.15136,1043.84864,77,122,1.54,1359,349,10720,5,340,3499.78,1.16,0,12.5371739
10.85146,392.54854,80,104,16,1125,114.38,13215,10,483,2848.4,0.71,40,11.18483248
23.44,1148.56,126,100.4,6.3,881.716,862.8275,9236,5,450,3109.34,21.96071422,37.60588444,5.221319545
69.5061418,973.0338582,104,114.8,8.32,901.755,303.8125,9001,8.9,512,2754.04,1.04,0,9.57908154
11.162918,892.717082,140,100.3599083,5.6,518.5,172.15,8568,10.4,502,3102,15.61,38.28531553,14.93809895
6.64073,564.35927,62,93.2,2.48,1529,166,9158,5,488,2779.28,28.5,110,5.817330158
66.4299,1328.5701,88,98.53391117,4.4,1083,231.85,9311,10,528,2652.42,15.41,38.87220867,7.120207445
30.71109,279.18891,159,89.6,1.59,804,440,12605,5,615,2609.78,0.6,32,0.760638773
20.5865,728.0135,135,111.2,2.7,1128,290,10840,5,428,3995.95,2.2,100,1.872523971
8.47296,432.82704,77,113,3.08,1019,487,13158,5,410,2854.6,4.1,80,6.315049216
64.51564,279.38436,145,92.48,5.3542,948,217.5,10954,3.83,767.3,2695.1,10.52,21.77263589,11.444
16.0704,151.3296,158,95,1.896,1135,148,13450,51.01742355,391.4,3924,4.135,15.38079211,1.041435274
67.907658,652.292342,80,104,8,1426,382,14667,5,694,2303.85,3.11,21,0.704322553
20.121132,724.278868,105,107.6,4.2,821.599,291.66,10414,5,531,2666,0.682,0,15.31665235
39.8097,707.7903,180,103.4075523,5.4,858,149.93,11299,10,577,3428.2,2.08,0,1.288605704
40.8573761,571.9726239,81,101.0864326,2.43,985,171.15,11580,10,348,3499.78,6.92,0,6.02769069
13.9986,406.0014,150,111.2,9,1081,315,7670,10.8,192,2507.29,1.99,27,1.404969158
2.941875,467.758125,123,104,1.353,1049,245,14600,5,381,3666.14,1.02,54.27863158,1.14684753
17.27003,360.62997,94,94.75637122,1.88,1436,222.94,11834,10,440,3813.35,11.74,43.0001499,0.523667424
